gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.267,0.134,3.45,3.584,57,0,3.6,2.27,1875
5.236,0.137,3.444,3.582,45,0,3.65,2.26,1868
5.221,0.135,3.447,3.582,57,0,3.68,2.27,1862
5.212,0.136,3.449,3.585,54,0,3.63,2.26,1876
5.137,0.134,3.443,3.577,54,0,3.63,2.27,1876
5.177,0.129,3.448,3.578,54,0,3.65,2.27,1867
5.19,0.129,3.458,3.587,52,0,3.63,2.26,1873
5.161,0.127,3.468,3.595,51,0,3.56,2.23,1884
5.106,0.124,3.464,3.588,48,0,3.59,2.25,1882
5.167,0.126,3.451,3.577,39,0,3.62,2.23,1860
5.214,0.128,3.458,3.587,57,0,3.58,2.21,1879
5.15,0.125,3.469,3.594,57,0,3.6,2.25,1890
5.106,0.127,3.452,3.579,51,0,3.65,2.26,1864
5.089,0.13,3.45,3.58,44,0,3.65,2.27,1864
5.147,0.129,3.453,3.582,55,0,3.6,2.25,1881
5.152,0.127,3.464,3.592,51,0,3.54,2.25,1901
5.144,0.127,3.464,3.592,44,0,3.54,2.25,1899
5.142,0.127,3.474,3.601,36,0,3.55,2.26,1905
5.105,0.13,3.475,3.605,65,0,3.56,2.29,1910
5.129,0.134,3.461,3.595,69,0,3.57,2.25,1899
5.193,0.134,3.461,3.596,51,0,3.61,2.27,1896
5.161,0.135,3.462,3.597,42,0,3.63,2.28,1884
5.223,0.138,3.449,3.587,57,0,3.66,2.27,1875
5.275,0.144,3.446,3.59,50,0,3.66,2.25,1869
5.246,0.141,3.448,3.589,42,0,3.66,2.29,1871
5.277,0.147,3.441,3.587,33,0,3.61,2.23,1866
5.276,0.146,3.438,3.584,71,0,3.61,2.26,1879
5.301,0.145,3.427,3.572,67,0,3.67,2.27,1850
5.233,0.148,3.419,3.567,69,0,3.67,2.25,1841
5.196,0.149,3.413,3.562,42,0,3.69,2.26,1829
5.242,0.152,3.407,3.559,57,0,3.72,2.27,1824
5.305,0.15,3.401,3.552,46,0,3.72,2.25,1816
5.375,0.15,3.415,3.565,42,0,3.66,2.23,1830
5.265,0.145,3.43,3.575,47,0,3.67,2.27,1843
5.245,0.146,3.428,3.575,42,0,3.67,2.26,1843
5.196,0.146,3.43,3.577,47,0,3.67,2.27,1849
5.252,0.145,3.443,3.588,50,0,3.67,2.3,1865
5.287,0.146,3.431,3.577,49,0,3.7,2.28,1844
5.318,0.146,3.434,3.58,51,0,3.71,2.28,1837
5.365,0.142,3.442,3.584,53,0,3.63,2.22,1850
5.33,0.137,3.443,3.58,69,0,3.65,2.24,1855
5.33,0.136,3.452,3.588,58,0,3.65,2.24,1868
5.383,0.135,3.463,3.598,69,0,3.64,2.24,1885
5.43,0.137,3.478,3.615,69,0,3.57,2.26,1908
5.312,0.129,3.496,3.625,75,0,3.53,2.26,1925
5.338,0.128,3.49,3.617,58,0,3.56,2.26,1911
