gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.295,1.203,3.005,4.208,71,0,1848.413,352.874,584
5.31,1.194,2.993,4.187,92,0,1767.763,332.01,584
5.314,1.181,2.998,4.179,64,0,1805.305,357.057,584
5.329,1.184,2.998,4.182,70,0,1847.412,385.588,584
5.343,1.199,2.984,4.182,91,0,1802.579,359.458,584
5.33,1.212,2.971,4.183,77,0,1824.041,345.205,584
5.318,1.214,2.97,4.184,67,0,1828.422,365.874,584
5.375,1.197,2.963,4.16,63,0,1863.383,329.167,584
5.297,1.202,2.95,4.153,85,0,1815.761,372.729,584
5.26,1.203,2.93,4.133,117,0,1873.637,339.279,584
5.298,1.203,2.917,4.12,72,0,1821.326,359.363,584
5.191,1.192,2.919,4.111,75,0,1790.519,345.79,584
5.26,1.166,2.919,4.086,92,0,1800.204,360.437,584
5.246,1.159,2.934,4.093,70,0,1819.51,359.518,584
5.277,1.169,2.931,4.1,74,0,1789.251,348.704,584
5.208,1.168,2.936,4.104,89,0,1815.024,405.325,584
5.16,1.167,2.949,4.117,88,0,1816.92,386.155,584
5.163,1.2,2.964,4.163,85,0,1783.161,338.056,584
5.228,1.202,2.972,4.174,81,0,1809.117,358.325,583
5.184,1.211,2.972,4.183,67,0,1920.514,386.646,584
5.192,1.209,2.966,4.175,67,0,1819.348,356.081,584
5.268,1.258,2.958,4.216,72,0,1732.657,332.164,584
5.207,1.266,2.958,4.224,90,0,1789.288,342.853,584
5.151,1.288,2.949,4.236,78,0,1818.373,353.153,584
5.187,1.292,2.957,4.249,63,0,1862.95,381.145,584
5.201,1.302,2.962,4.264,80,0,1782.348,343.861,584
5.25,1.396,2.97,4.366,80,0,1771.055,349.791,584
5.305,1.373,2.977,4.35,74,0,1833.588,354.739,584
5.331,1.348,2.969,4.317,106,0,1817.161,375.218,584
5.253,1.354,2.97,4.324,76,0,1852.311,368.005,584
5.352,1.385,2.971,4.356,83,0,1838.602,348.794,584
5.243,1.378,2.978,4.356,97,0,1846.8,363.944,584
5.318,1.355,2.995,4.349,71,0,1780.63,376.887,584
5.321,1.356,2.978,4.334,87,0,1797.538,341.617,584
5.207,1.362,2.975,4.337,67,0,1829.248,354.2,584
5.261,1.363,2.987,4.35,67,0,1756.344,352.371,584
5.239,1.349,2.981,4.33,70,0,1811.186,371.554,584
5.205,1.304,2.997,4.3,102,0,1772.313,331.612,584
5.206,1.279,2.992,4.27,73,0,1804.718,364.86,584
5.189,1.283,2.982,4.265,77,0,1834.14,365.824,584
5.166,1.284,2.982,4.266,80,0,1768.681,364.148,584
5.149,1.276,2.979,4.255,72,0,1842.263,352.506,584
5.074,1.252,2.979,4.231,83,0,1817.017,369.917,584
5.098,1.25,2.974,4.224,65,0,1786.959,367.852,584
5.078,1.248,2.96,4.208,94,0,1760.87,357.931,584
5.196,1.274,2.961,4.236,82,0,1828.461,370.043,584
