gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.772,0.087,3.403,3.49,9,0
1.757,0.087,3.409,3.496,15,0
1.724,0.088,3.406,3.494,17,0
1.759,0.088,3.403,3.491,7,0
1.683,0.088,3.405,3.493,15,0
1.739,0.087,3.409,3.496,18,0
1.755,0.087,3.413,3.5,11,0
1.729,0.087,3.397,3.484,15,0
1.754,0.088,3.388,3.476,9,0
1.735,0.089,3.381,3.47,14,0
1.724,0.089,3.371,3.461,16,0
1.682,0.089,3.379,3.468,14,0
1.819,0.09,3.371,3.461,16,0
1.767,0.09,3.378,3.467,21,0
1.694,0.089,3.384,3.473,19,0
1.72,0.089,3.385,3.474,15,0
1.807,0.089,3.38,3.469,18,0
1.794,0.089,3.383,3.472,11,0
1.748,0.089,3.374,3.463,21,0
1.746,0.09,3.371,3.46,17,0
1.711,0.089,3.379,3.469,15,0
1.699,0.091,3.371,3.461,12,0
1.752,0.09,3.369,3.459,9,0
1.786,0.09,3.36,3.45,12,0
1.79,0.091,3.354,3.445,5,0
1.747,0.093,3.344,3.437,11,0
1.698,0.094,3.332,3.426,15,0
1.753,0.094,3.337,3.431,15,0
1.679,0.094,3.339,3.432,16,0
1.731,0.093,3.352,3.445,17,0
1.765,0.092,3.358,3.451,11,0
1.764,0.093,3.358,3.451,18,0
1.716,0.093,3.351,3.444,13,0
1.704,0.093,3.367,3.459,21,0
1.787,0.092,3.365,3.458,12,0
1.75,0.093,3.364,3.457,14,0
1.702,0.094,3.356,3.45,12,0
1.752,0.094,3.359,3.453,17,0
1.725,0.093,3.368,3.461,18,0
1.791,0.093,3.365,3.458,12,0
1.787,0.094,3.365,3.459,16,0
1.813,0.093,3.367,3.46,19,0
1.758,0.092,3.379,3.472,7,0
1.733,0.092,3.381,3.473,12,0
1.757,0.092,3.38,3.472,19,0
1.765,0.094,3.371,3.465,19,0
1.746,0.093,3.377,3.471,18,0
1.723,0.092,3.391,3.483,17,0
1.743,0.092,3.386,3.479,19,0
1.74,0.093,3.388,3.48,15,0
1.75,0.092,3.389,3.481,19,0
1.74,0.092,3.377,3.469,9,0
1.768,0.093,3.379,3.471,15,0
1.758,0.092,3.385,3.477,11,0
1.808,0.092,3.39,3.482,13,0
1.734,0.092,3.389,3.48,9,0
1.752,0.091,3.397,3.488,9,0
1.716,0.09,3.402,3.491,20,0
1.742,0.09,3.402,3.492,14,0
1.727,0.091,3.396,3.486,11,0
1.722,0.089,3.407,3.496,18,0
1.793,0.089,3.411,3.499,13,0
